0.020700,0.020900,0.020700,0.020800
0.030000,0.030400,0.030000,0.028600
0.038500,0.038600,0.038400,0.038800
0.048700,0.049100,0.049000,0.049300
0.058300,0.058600,0.058600,0.059900
0.069200,0.068900,0.068700,0.066600
0.079500,0.079900,0.079700,0.076700
0.089200,0.089200,0.088600,0.085900
0.098500,0.098800,0.098700,0.099300
0.108000,0.108400,0.108100,0.108100
0.116300,0.117500,0.116900,0.120900
0.125200,0.127200,0.125700,0.125400
0.135700,0.135600,0.135500,0.136900
0.145700,0.145000,0.145800,0.150500
0.154600,0.154500,0.154300,0.164800
0.164000,0.164500,0.164000,0.165500
0.174000,0.174300,0.173600,0.172400
0.183300,0.184200,0.182400,0.184200
0.192200,0.193900,0.192500,0.198100
0.201900,0.202800,0.200500,0.205500
0.210800,0.210500,0.210400,0.218600
0.220900,0.220200,0.219700,0.231200
0.231500,0.230900,0.229800,0.235400
0.242400,0.242600,0.239800,0.246100
0.253000,0.251800,0.251500,0.256500
0.260800,0.262100,0.261300,0.261200
0.273800,0.271600,0.271700,0.277600
0.284700,0.282300,0.283500,0.286600
0.297600,0.293900,0.294300,0.294700
0.309100,0.303700,0.303200,0.303900
0.319000,0.313800,0.314500,0.314900
0.328500,0.323900,0.324800,0.322200
0.336500,0.334200,0.335000,0.338200
0.345700,0.344900,0.344000,0.344800
0.355000,0.355700,0.354400,0.351100
0.363400,0.366400,0.367400,0.361600
0.372100,0.377600,0.375700,0.375600
0.382300,0.387800,0.385700,0.388000
0.390600,0.397000,0.395400,0.389100
0.399900,0.407100,0.405800,0.408300
0.409400,0.415800,0.414800,0.413700
0.419000,0.426600,0.422200,0.424900
0.428300,0.436200,0.432900,0.429000
0.436700,0.445800,0.442400,0.447300
0.447000,0.455700,0.451600,0.448700
0.454500,0.466600,0.464500,0.461800
0.467400,0.477300,0.474300,0.468600
0.479000,0.486100,0.482100,0.484200
0.486800,0.495500,0.494400,0.492800
0.496000,0.507400,0.503000,0.506600
0.503800,0.515600,0.511100,0.516800
0.513100,0.525100,0.521100,0.519400
0.524000,0.533900,0.531900,0.534700
0.535200,0.543600,0.541200,0.539000
0.545200,0.554100,0.549400,0.551800
0.555300,0.564000,0.558900,0.559900
0.568900,0.574000,0.570800,0.567800
0.579700,0.583600,0.579900,0.580900
0.591900,0.592400,0.590000,0.590700
0.602000,0.600900,0.598400,0.602300
0.612700,0.608600,0.608100,0.602100
0.622700,0.618200,0.616000,0.622700
0.637100,0.628800,0.630700,0.624700
0.647100,0.639200,0.638700,0.636400
0.656800,0.648200,0.647600,0.653800
0.666200,0.659200,0.657100,0.659500
0.679300,0.667600,0.669000,0.672000
0.687300,0.678100,0.679200,0.677100
0.696300,0.687400,0.688900,0.689000
0.713100,0.698000,0.701500,0.704400
0.721100,0.708600,0.709100,0.710100
0.728800,0.720000,0.722000,0.722000
0.737200,0.731300,0.733200,0.724000
0.744200,0.742800,0.742800,0.736400
0.750700,0.751800,0.752400,0.747800
0.761400,0.763500,0.763700,0.755400
0.774200,0.774500,0.773900,0.768900
0.778200,0.785200,0.781600,0.782000
0.793900,0.793500,0.796300,0.792700
0.804500,0.803800,0.804100,0.795200
0.812600,0.813900,0.813100,0.808800
0.819800,0.823600,0.822500,0.816100
0.839000,0.834400,0.831300,0.826000
0.838100,0.844300,0.843700,0.833100
0.854600,0.854400,0.851300,0.843500
0.863200,0.863800,0.861900,0.853200
0.874500,0.873800,0.872200,0.859200
0.882300,0.883800,0.881900,0.868700
0.892800,0.893900,0.893700,0.886700
0.901300,0.901600,0.902500,0.891500
0.917000,0.911800,0.913600,0.892200
0.924500,0.920200,0.922400,0.899300
0.933100,0.932100,0.930200,0.915900
0.940600,0.940600,0.945000,0.926500
0.952700,0.951700,0.950800,0.930000
0.959800,0.961600,0.961400,0.933600
0.970700,0.970000,0.972000,0.939900
0.981500,0.980900,0.980700,0.952500
0.990000,0.990000,0.990000,0.962400
0.990000,0.990000,0.990000,0.960000
0.990000,0.990000,0.990000,0.957900
0.990000,0.990000,0.990000,0.965800
0.990000,0.990000,0.990000,0.972600
0.990000,0.990000,0.990000,0.964100
0.990000,0.990000,0.990000,0.964500
0.990000,0.990000,0.990000,0.974000
0.990000,0.990000,0.990000,0.969000
0.990000,0.990000,0.990000,0.965900
